BFS_NR,GEO_LEVEL_LEVEL,GEBIET_NAME,JAHR,Einwohner_pro_ha_Wohnzone,Einwohner_pro_ha_Mischzone,Einwohner_pro_ha_Arbeitszone,Einwohner_pro_ha_Total,Beschaeftigte_pro_ha_Wohnzone,Beschaeftigte_pro_ha_Mischzone,Beschaeftigte_pro_ha_Arbeitszone,Beschaeftigte_pro_ha_Total,Einwohner_u_Beschaeftigte_pro_ha_Wohnzone,Einwohner_u_Beschaeftigte_pro_ha_Mischzone,Einwohner_u_Beschaeftigte_pro_ha_Arbeitszone,Einwohner_u_Beschaeftigte_pro_ha_Total,Einheit
36,3,"Oberstammheim",2016,27.3,30.2,0,29.4,1.2,12.1,0,9.9,28.5,42.3,0,39.3,"Anzahl"
36,3,"Oberstammheim",2017,27.9,30.4,0,29.6,1.2,11.7,0,9.6,29,42.1,0,39.2,"Anzahl"
36,3,"Oberstammheim",2018,26.6,29.3,0,28.5,1.2,11,0,9.1,27.7,40.3,0,37.6,"Anzahl"
37,3,"Ossingen",2012,27.5,36.9,3.2,26.7,1.5,9.7,21.2,9,29,46.6,24.4,35.7,"Anzahl"
37,3,"Ossingen",2013,28.3,36.8,3,27,0.8,9.5,24,8.9,29.1,46.3,27,36,"Anzahl"
37,3,"Ossingen",2014,25.8,38.1,3,26.9,1.2,10.7,20.5,9,27,48.8,23.4,35.9,"Anzahl"
37,3,"Ossingen",2015,28.3,37.3,3.3,27.4,1.3,9,18.8,8.3,29.6,46.3,22.1,35.7,"Anzahl"
37,3,"Ossingen",2016,29.8,36.6,3,27.5,0.8,7.7,18.2,7,30.6,44.3,21.2,34.5,"Anzahl"
37,3,"Ossingen",2017,31.6,38.5,9.9,29.8,0.9,8,19,7.3,32.5,46.5,28.8,37.1,"Anzahl"
37,3,"Ossingen",2018,38.8,38.7,3.5,31.6,1.1,9.3,17.7,7.9,39.9,48,21.2,39.5,"Anzahl"
37,3,"Ossingen",2019,41.2,38.8,2.8,32.3,1,8.4,19.9,7.7,42.2,47.2,22.7,39.9,"Anzahl"
37,3,"Ossingen",2020,42.8,40.2,2.6,33.4,0.7,9.1,21.9,8.2,43.5,49.3,24.6,41.7,"Anzahl"
37,3,"Ossingen",2021,39.8,39.8,2.4,32.3,1.1,9.1,21.6,8.2,40.9,48.8,24,40.6,"Anzahl"
38,3,"Rheinau",2012,34.7,25.9,0,21.8,1.8,11,0,7.2,36.5,36.9,0,29,"Anzahl"
38,3,"Rheinau",2013,34,25,0,21.3,1.6,9.3,0,6.9,35.6,34.2,0,28.2,"Anzahl"
38,3,"Rheinau",2014,33.9,24.6,0,21.1,1.8,10.2,0,7.5,35.7,34.8,0,28.6,"Anzahl"
38,3,"Rheinau",2015,33.7,24.7,0,21.2,1.7,10.8,0,7.7,35.5,35.5,0,28.9,"Anzahl"
38,3,"Rheinau",2016,33,25.2,0,21.2,1.8,11.1,0,7.8,34.8,36.3,0,28.9,"Anzahl"
38,3,"Rheinau",2017,32.6,25.4,0,21.1,2.2,12.1,0,10.6,34.8,37.5,0,31.7,"Anzahl"
38,3,"Rheinau",2018,32.6,26.3,0,21.4,2.3,12.1,0,11.3,34.9,38.4,0,32.7,"Anzahl"
38,3,"Rheinau",2019,32.6,26.1,0,21.3,2.3,12.5,0,11.7,34.9,38.6,0,33,"Anzahl"
38,3,"Rheinau",2020,32.5,25.3,0,20.9,2.4,11.7,0,11.4,34.8,37,0,32.3,"Anzahl"
38,3,"Rheinau",2021,32,25.8,0,20.9,3.6,13.7,0,12.4,35.6,39.5,0,33.3,"Anzahl"
39,3,"Thalheim an der Thur",2012,32.6,30.7,1.8,27.6,2.3,6.3,31.2,6.8,34.8,37,32.9,34.4,"Anzahl"
39,3,"Thalheim an der Thur",2013,32.5,31.8,1.8,28.2,2.9,5.9,36.9,7.2,35.4,37.7,38.7,35.4,"Anzahl"
39,3,"Thalheim an der Thur",2014,31.7,31.8,2.2,28.1,3.2,7.1,27.1,7.3,34.8,38.9,29.4,35.4,"Anzahl"
39,3,"Thalheim an der Thur",2015,32.1,30.5,2.2,27.4,1.7,7.5,25.8,7.1,33.8,37.9,28,34.5,"Anzahl"
39,3,"Thalheim an der Thur",2016,30.9,30.9,2.1,27.2,2.5,7.7,24.9,7.4,33.4,38.6,27,34.6,"Anzahl"
39,3,"Thalheim an der Thur",2017,31,32,1.3,27.8,2.4,7.6,24,7.3,33.4,39.5,25.3,35.1,"Anzahl"
39,3,"Thalheim an der Thur",2018,31.3,31.8,1.3,27.8,2.3,7.4,24.9,7.2,33.5,39.2,26.1,35,"Anzahl"
39,3,"Thalheim an der Thur",2019,32.3,31.9,1.3,28.1,2.5,7.5,26.8,7.4,34.8,39.4,28.1,35.5,"Anzahl"
39,3,"Thalheim an der Thur",2020,32,32.6,1.3,28.5,2.8,9.7,25,8.7,34.7,42.2,26.3,37.1,"Anzahl"
39,3,"Thalheim an der Thur",2021,31.6,33.8,1.3,29.3,2.8,9.7,25.4,8.6,34.3,43.5,26.8,37.9,"Anzahl"
40,3,"Trüllikon",2012,26.2,27.1,11.2,25.5,1.5,10.7,30.4,8.7,27.7,37.9,41.6,34.2,"Anzahl"
40,3,"Trüllikon",2013,25.8,27.1,10.1,25.3,1.6,9.7,28.4,8,27.4,36.8,38.5,33.4,"Anzahl"
40,3,"Trüllikon",2014,25.4,28.3,17.1,26.4,1.8,8.5,43.5,7.3,27.2,36.9,60.5,33.7,"Anzahl"
40,3,"Trüllikon",2015,27.1,27.7,12.4,26.3,1.9,8.2,45,7.3,29,35.9,57.4,33.5,"Anzahl"
40,3,"Trüllikon",2016,28.4,29,17.1,27.8,2.3,7.9,40.4,7,30.7,36.9,57.4,34.8,"Anzahl"
40,3,"Trüllikon",2017,28.6,28.8,15.5,27.6,2.6,7.6,43.5,6.9,31.2,36.4,59,34.5,"Anzahl"
40,3,"Trüllikon",2018,28.1,29.4,12.4,27.8,2.2,7,46.6,6.5,30.3,36.4,59,34.3,"Anzahl"
40,3,"Trüllikon",2019,27.9,28.8,0,27.7,2.2,9,0,7.5,30.1,37.8,0,35.1,"Anzahl"
40,3,"Trüllikon",2020,27.2,28.9,0,27.6,2.2,8.8,0,7.3,29.4,37.7,0,34.9,"Anzahl"
40,3,"Trüllikon",2021,27.4,28.4,0,27.3,2.4,9.1,0,7.4,29.9,37.6,0,34.7,"Anzahl"
41,3,"Truttikon",2012,25.3,30.4,0,28,1.8,5.5,0,4.8,27.1,35.9,0,32.8,"Anzahl"
41,3,"Truttikon",2013,24.4,27.4,0,25.6,0.9,4.9,0,4.4,25.3,32.3,0,29.9,"Anzahl"
41,3,"Truttikon",2014,24.8,28.5,0,26.5,1.4,5,0,4.5,26.2,33.4,0,31,"Anzahl"
41,3,"Truttikon",2015,23.5,30,0,27.6,1.4,4.7,0,4.3,24.8,34.7,0,31.9,"Anzahl"
41,3,"Truttikon",2016,22.1,29.5,0,27,1.4,5.1,0,4.5,23.5,34.6,0,31.5,"Anzahl"
41,3,"Truttikon",2017,23,29.9,0,27.4,1.4,5.3,0,4.7,24.4,35.2,0,32.2,"Anzahl"
41,3,"Truttikon",2018,22.5,30,0,27.5,1.4,5.7,0,5,23.9,35.8,0,32.5,"Anzahl"
41,3,"Truttikon",2019,22.1,28.7,0,26.3,0.9,5.9,0,5.5,23,34.6,0,31.8,"Anzahl"
41,3,"Truttikon",2020,21.6,27.8,0,25.6,,5.1,0,4.9,,32.9,0,30.5,"Anzahl"
41,3,"Truttikon",2021,20.2,28.9,0,26.2,,5.8,0,5.7,,34.6,0,31.9,"Anzahl"
42,3,"Unterstammheim",2012,30.9,24.9,3.2,20.8,3,12.1,6.7,9.9,33.9,37,9.8,30.7,"Anzahl"
42,3,"Unterstammheim",2013,30.9,25,2.8,20.6,2.4,12.3,6.1,9.8,33.3,37.2,8.9,30.4,"Anzahl"
42,3,"Unterstammheim",2014,31,25.6,2.9,20.9,2.6,13,8.2,10.6,33.6,38.6,11.1,31.5,"Anzahl"
42,3,"Unterstammheim",2015,31.4,26.6,2.8,21.6,2,12.6,8,10.3,33.4,39.3,10.8,31.9,"Anzahl"
42,3,"Unterstammheim",2016,30.8,26,2.8,21.1,1.4,13.1,8.3,10.8,32.2,39.1,11.1,31.9,"Anzahl"
42,3,"Unterstammheim",2017,29.3,25.2,2.7,20.2,1.6,14.3,7.2,11.4,30.9,39.5,9.8,31.6,"Anzahl"
42,3,"Unterstammheim",2018,30.5,24.6,3.2,20.4,1.5,17.6,8.1,13.4,32,42.2,11.4,33.7,"Anzahl"
43,3,"Volken",2012,0,32.5,0,31,0,10.6,0,10.5,0,43,0,41.5,"Anzahl"
43,3,"Volken",2013,0,30.9,0,29.6,0,8.1,0,8,0,39,0,37.7,"Anzahl"
43,3,"Volken",2014,0,34.4,0,32.9,0,11.3,0,11.2,0,45.7,0,44.2,"Anzahl"
43,3,"Volken",2015,0,34.3,0,32.7,0,9.3,0,9.3,0,43.6,0,42,"Anzahl"
43,3,"Volken",2016,0,34,0,32.4,0,9.6,0,10.2,0,43.6,0,42.6,"Anzahl"
43,3,"Volken",2017,0,34.3,0,32.7,0,9.6,0,10,0,43.9,0,42.7,"Anzahl"
43,3,"Volken",2018,0,36.9,0,35.1,0,9.1,0,9.7,0,45.9,0,44.9,"Anzahl"
43,3,"Volken",2019,0,37.7,0,36,0,9.1,0,9.4,0,46.8,0,45.4,"Anzahl"
43,3,"Volken",2020,0,38,0,36.3,0,10,0,10.2,0,48,0,46.5,"Anzahl"
43,3,"Volken",2021,0,38.2,0,36.4,0,6.5,0,6.9,0,44.7,0,43.3,"Anzahl"
44,3,"Waltalingen",2012,32.1,22.7,0,24.2,2.2,8.7,0,6.9,34.4,31.5,0,31.1,"Anzahl"
44,3,"Waltalingen",2013,30.1,23.9,0,24.5,2.2,10,0,7.7,32.2,33.9,0,32.2,"Anzahl"
44,3,"Waltalingen",2014,30.4,23,0,24,2.6,9.3,0,7.3,33,32.3,0,31.3,"Anzahl"
44,3,"Waltalingen",2015,29.9,23.7,0,24.3,2.8,9.9,0,7.8,32.7,33.6,0,32.1,"Anzahl"
44,3,"Waltalingen",2016,29.2,22.9,0,23.5,2.7,8.7,0,7.1,32,31.6,0,30.6,"Anzahl"
44,3,"Waltalingen",2017,27.6,23.4,0,23.2,2.3,9.8,0,7.7,29.8,33.1,0,30.9,"Anzahl"
44,3,"Waltalingen",2018,27.7,23.2,0,23.2,2.4,9.3,0,7.2,30.1,32.5,0,30.4,"Anzahl"
51,3,"Bachenbülach",2012,70,62.7,1.5,47,2.6,17.5,55.5,21.5,72.6,80.2,57,68.5,"Anzahl"
51,3,"Bachenbülach",2013,70,64.4,1.4,46.4,2.9,19.2,51.2,21.5,72.8,83.7,52.7,67.9,"Anzahl"
51,3,"Bachenbülach",2014,49.5,97.9,1.2,46.4,2.9,11.6,52.2,21.1,52.4,109.5,53.4,67.5,"Anzahl"
51,3,"Bachenbülach",2015,49.3,94.8,1.4,45.4,2.7,11,53.7,21.5,52,105.8,55.1,66.9,"Anzahl"
51,3,"Bachenbülach",2016,49.2,96.7,1.5,45.9,2.6,11.3,54.2,21.7,51.8,108.1,55.7,67.5,"Anzahl"
51,3,"Bachenbülach",2017,69.8,65.3,1.5,46.5,2.7,15,52.7,21,72.5,80.3,54.2,67.5,"Anzahl"
51,3,"Bachenbülach",2018,70.7,65.7,1.7,47,2.8,15,53,21.2,73.5,80.7,54.7,68.2,"Anzahl"
51,3,"Bachenbülach",2019,70.6,66.9,1.4,47,2.7,14.1,52.9,21.1,73.3,81,54.3,68.1,"Anzahl"
51,3,"Bachenbülach",2020,50.7,98.8,1.5,47.3,2.9,11,48.1,19.7,53.6,109.8,49.7,66.9,"Anzahl"
51,3,"Bachenbülach",2021,51.9,98.2,1.5,47.6,2.5,12.1,47.9,19.6,54.4,110.3,49.4,67.3,"Anzahl"
52,3,"Bassersdorf",2012,66.4,68.9,3.4,56,4.4,22.2,78.3,18.2,70.8,91.1,81.7,74.2,"Anzahl"
52,3,"Bassersdorf",2013,66.2,70.2,3.4,56.1,4.7,22.9,80.3,19,70.9,93,83.7,75.1,"Anzahl"
52,3,"Bassersdorf",2014,66.3,71.3,2.9,56.1,4.9,25.4,85,20.4,71.2,96.7,87.9,76.5,"Anzahl"
52,3,"Bassersdorf",2015,67.1,72.9,3.1,56.6,5.1,26.5,83.5,20.5,72.2,99.4,86.7,77,"Anzahl"
52,3,"Bassersdorf",2016,67,73.3,2.7,56.3,4.6,27.7,83.3,20.9,71.6,101,86,77.1,"Anzahl"
52,3,"Bassersdorf",2017,67.3,73.4,2.9,56.5,4.8,27.3,83.2,20.7,72.1,100.7,86.1,77.2,"Anzahl"
52,3,"Bassersdorf",2018,67.7,73.4,2.9,56.7,4.7,27.1,94.8,22.2,72.4,100.5,97.6,79,"Anzahl"
52,3,"Bassersdorf",2019,67.9,75.5,4.6,57.6,4.4,27.4,95.1,22,72.4,102.9,99.7,79.6,"Anzahl"
52,3,"Bassersdorf",2020,70.1,70.8,4.1,57.8,5.6,24.7,82.5,20.2,75.7,95.5,86.5,78,"Anzahl"
52,3,"Bassersdorf",2021,69.9,72,4.2,57.9,5.9,27.5,83.9,20.9,75.8,99.5,88.1,78.8,"Anzahl"
53,3,"Bülach",2012,82.4,47.2,14.4,50.8,4.5,57.4,62.9,29.2,86.9,104.6,77.2,80.1,"Anzahl"
53,3,"Bülach",2013,83.2,49,17.3,52,4.6,55.9,65.1,29.2,87.8,104.9,82.3,81.2,"Anzahl"
53,3,"Bülach",2014,84,50.8,20.8,53.2,4.7,57,65.8,29.8,88.6,107.8,86.6,83,"Anzahl"
53,3,"Bülach",2015,84.3,54.9,22.5,54.5,5.2,51,69.8,29.6,89.5,106,92.2,84.1,"Anzahl"
53,3,"Bülach",2016,83.7,56.8,22.5,54.7,5.2,48.2,72.7,29.3,88.9,105,95.2,84,"Anzahl"
53,3,"Bülach",2017,84,58.6,23,55.4,4.8,45.5,78.7,30.1,88.9,104.2,101.8,85.5,"Anzahl"
53,3,"Bülach",2018,86,60.6,23.9,56.9,5.3,45.4,81,30.7,91.3,106,104.9,87.6,"Anzahl"
53,3,"Bülach",2019,88.7,63.5,26.4,59.2,5.1,49.5,75.2,30.5,93.8,113,101.6,89.7,"Anzahl"
53,3,"Bülach",2020,89.9,64.7,27.9,60.3,4.9,47.4,73.4,29.8,94.8,112.1,101.2,90.1,"Anzahl"
53,3,"Bülach",2021,89.9,70.2,28.1,61.6,6.5,49.8,70.7,30.2,96.4,120,98.8,91.8,"Anzahl"
54,3,"Dietlikon",2012,68.6,39.9,3.2,42.1,6.6,32.3,89,33.8,75.1,72.2,92.2,75.9,"Anzahl"
54,3,"Dietlikon",2013,68.7,49.3,3.3,42.4,6,24.9,87.4,33.6,74.7,74.1,90.6,75.9,"Anzahl"
54,3,"Dietlikon",2014,69.9,63.2,2.8,44.4,5.8,25.7,88.6,33.9,75.7,88.9,91.5,78.3,"Anzahl"
54,3,"Dietlikon",2015,69.8,58.5,3,45.1,5.6,28.7,96,35.1,75.4,87.2,99,80.2,"Anzahl"
54,3,"Dietlikon",2016,69.1,59.5,2.6,44.7,6.4,24.5,100,36.5,75.5,84.1,102.6,81.2,"Anzahl"
54,3,"Dietlikon",2017,70.4,60.5,2.9,45.5,7,26.8,99.5,36.7,77.4,87.3,102.4,82.2,"Anzahl"
54,3,"Dietlikon",2018,71.1,62.1,2.8,46,6.2,23.3,93.9,34.3,77.3,85.4,96.7,80.3,"Anzahl"
54,3,"Dietlikon",2019,73.5,47.5,2.7,46.8,6.3,25,100.6,36,79.8,72.5,103.3,82.8,"Anzahl"
54,3,"Dietlikon",2020,73.3,47.4,2.3,46.6,6.2,29.2,99.4,36.2,79.4,76.6,101.7,82.8,"Anzahl"
54,3,"Dietlikon",2021,73.1,48.7,2.4,46.6,6.3,29.8,92.3,34.1,79.5,78.5,94.6,80.7,"Anzahl"
55,3,"Eglisau",2012,44,52.3,0.7,40.9,3.7,15.6,22.1,11.4,47.7,67.9,22.8,52.3,"Anzahl"
55,3,"Eglisau",2013,44.6,51.7,0.7,40.9,3.4,15.6,24.1,11.3,47.9,67.3,24.8,52.3,"Anzahl"
55,3,"Eglisau",2014,45,54.7,0.2,42.3,4.4,15.6,15,11.3,49.4,70.3,15.2,53.6,"Anzahl"
55,3,"Eglisau",2015,45.6,55.2,0.4,42.8,4.6,14.1,25.9,11.8,50.2,69.3,26.3,54.6,"Anzahl"
55,3,"Eglisau",2016,52.6,54.3,1.5,43.6,4.7,16,34,13.2,57.3,70.3,35.5,56.8,"Anzahl"
55,3,"Eglisau",2017,52.7,54.3,1.6,43.7,4.6,15.9,33.1,13,57.3,70.2,34.7,56.8,"Anzahl"
55,3,"Eglisau",2018,52.7,55.1,1.5,44,4.5,15.9,31.6,12.8,57.2,71,33.1,56.9,"Anzahl"
55,3,"Eglisau",2019,51.3,58.1,1.5,44.4,4.5,15,23.7,11.6,55.8,73.1,25.3,56.1,"Anzahl"
55,3,"Eglisau",2020,55.7,58.5,1.5,45.5,4.4,15.6,22.6,11.2,60.1,74.1,24.1,56.6,"Anzahl"
55,3,"Eglisau",2021,55.5,58.1,1.2,45.3,4.4,14,20.9,10.6,59.9,72.2,22.1,55.8,"Anzahl"
56,3,"Embrach",2012,71.3,46.5,1.3,43.6,3.6,18,45.9,17.4,74.9,64.6,47.2,61,"Anzahl"
56,3,"Embrach",2013,69.2,48.4,1.1,43.2,3.7,19.9,45.8,18,72.9,68.3,47,61.2,"Anzahl"
56,3,"Embrach",2014,70.2,49.8,1.2,44,3.5,24.2,36.3,17,73.7,74,37.5,61,"Anzahl"
56,3,"Embrach",2015,69.9,51.5,1.3,44,3.7,18.4,40.9,17.2,73.7,69.9,42.2,61.2,"Anzahl"
56,3,"Embrach",2016,70.7,51.4,1.3,44.4,3.6,16.4,40,16.8,74.3,67.8,41.3,61.1,"Anzahl"
56,3,"Embrach",2017,71.4,49.7,1.3,45.3,3.6,16.3,44.5,17,75,66,45.8,62.3,"Anzahl"
56,3,"Embrach",2018,71.1,49.9,1.6,45.2,3.6,16.3,44.8,17.2,74.7,66.2,46.5,62.4,"Anzahl"
56,3,"Embrach",2019,70.9,48.2,1.4,45,3.9,18.2,45,17.8,74.9,66.4,46.4,62.8,"Anzahl"
56,3,"Embrach",2020,58.7,76.2,1.2,44.6,5.8,12.1,36.8,17.1,64.4,88.3,38,61.7,"Anzahl"
56,3,"Embrach",2021,61.5,77.5,1.2,46.1,5.8,12.2,38.5,17.5,67.2,89.7,39.7,63.6,"Anzahl"
57,3,"Freienstein-Teufen",2012,49.3,46.4,0,45.9,5.6,15.4,0,11.5,54.9,61.8,0,57.4,"Anzahl"
57,3,"Freienstein-Teufen",2013,48.7,46,0,45.4,3.6,17.8,0,11.6,52.2,63.8,0,57.1,"Anzahl"
57,3,"Freienstein-Teufen",2014,48.4,46.7,0,45.7,3.3,18.7,0,11.4,51.6,65.5,0,57.1,"Anzahl"
57,3,"Freienstein-Teufen",2015,47,46.3,0,44.8,3.2,20.5,0,12.2,50.3,66.8,0,57,"Anzahl"
57,3,"Freienstein-Teufen",2016,47.6,47.4,0,45.6,3.5,17.4,0,10.9,51.2,64.8,0,56.5,"Anzahl"
57,3,"Freienstein-Teufen",2017,47.4,49.9,0,46.7,3.3,17.1,0,10.8,50.7,67,0,57.5,"Anzahl"
57,3,"Freienstein-Teufen",2018,47.1,50.1,0,46.7,3,22.5,0,13.2,50.1,72.6,0,59.8,"Anzahl"
57,3,"Freienstein-Teufen",2019,46.9,50.6,0,46.8,3,22.2,0,13.2,50,72.8,0,59.9,"Anzahl"
57,3,"Freienstein-Teufen",2020,47.5,49.7,0,46.7,3.2,21.2,0,12.6,50.7,70.9,0,59.3,"Anzahl"
57,3,"Freienstein-Teufen",2021,47.2,50.3,0,46.8,3.3,21.7,0,13.1,50.4,72,0,59.9,"Anzahl"
58,3,"Glattfelden",2012,51.1,49.7,2.1,40.9,3.9,6.2,26.6,7.7,55,55.9,28.7,48.5,"Anzahl"
58,3,"Glattfelden",2013,51.4,50.6,1.8,41.3,4,6.1,29.5,8,55.4,56.7,31.3,49.3,"Anzahl"
58,3,"Glattfelden",2014,51.9,53.8,1.6,42.9,4.2,5.9,30.6,8.2,56.1,59.8,32.1,51.1,"Anzahl"
58,3,"Glattfelden",2015,52.8,54.8,1.5,43.7,4.2,6.1,32.8,8.4,57.1,60.9,34.2,52.1,"Anzahl"
58,3,"Glattfelden",2016,52.9,55,1.5,44,4.5,5.9,37.2,8.8,57.4,60.9,38.7,52.8,"Anzahl"
58,3,"Glattfelden",2017,52.6,55.3,1.8,44.3,3.9,5.9,37.4,8.9,56.5,61.1,39.2,53.2,"Anzahl"
58,3,"Glattfelden",2018,52.6,55.5,1.5,44.2,3.7,6,37.1,9.1,56.3,61.5,38.6,53.3,"Anzahl"
58,3,"Glattfelden",2019,53.2,55,1.8,45.2,3.2,6.1,44.5,8.8,56.4,61.1,46.3,54,"Anzahl"
58,3,"Glattfelden",2020,53.4,56.8,2,45.8,3.5,5.9,44.4,9.2,57,62.7,46.3,55,"Anzahl"
58,3,"Glattfelden",2021,53.4,59,1.5,46.5,4,5.9,42,8.6,57.4,64.9,43.4,55.1,"Anzahl"
59,3,"Hochfelden",2012,64.8,57.2,0.4,54.3,2.7,9.8,68.5,10.3,67.5,67,68.9,64.6,"Anzahl"
59,3,"Hochfelden",2013,63.6,58.2,1.1,53.9,3.1,10.3,72.8,11.1,66.6,68.5,73.9,65,"Anzahl"
59,3,"Hochfelden",2014,56.5,68.5,1.9,54,3.4,8.2,73.7,10.8,59.9,76.7,75.6,64.8,"Anzahl"
59,3,"Hochfelden",2015,54.8,67.8,1.9,52.9,3.4,7.8,73.4,10.6,58.2,75.6,75.2,63.5,"Anzahl"
59,3,"Hochfelden",2016,55.3,65.4,2.6,51.3,3.6,7.9,62.1,11.1,58.9,73.4,64.7,62.3,"Anzahl"
59,3,"Hochfelden",2017,54.3,64.5,2.9,50.5,3.2,7,61.2,10.5,57.5,71.5,64.1,60.9,"Anzahl"
59,3,"Hochfelden",2018,60.8,54.4,2.6,50.4,2.7,7.4,63.3,10.2,63.5,61.8,65.9,60.5,"Anzahl"
59,3,"Hochfelden",2019,62,56.2,2.3,51.6,3.5,8,63.5,10.8,65.5,64.2,65.8,62.3,"Anzahl"
59,3,"Hochfelden",2020,56.5,67.7,2,52.7,3.7,6.4,62.1,10.5,60.2,74.1,64.1,63.1,"Anzahl"
59,3,"Hochfelden",2021,56.6,69.1,0,52.4,2.9,7.8,65.1,10.4,59.5,76.9,65.1,62.8,"Anzahl"
60,3,"Höri",2012,73,31.1,6.8,43.9,2.5,18.9,52.9,18.5,75.5,50.1,59.7,62.4,"Anzahl"
60,3,"Höri",2013,74.5,30.7,6.1,44,2.6,18.8,53.8,18.4,77.1,49.6,59.9,62.4,"Anzahl"
60,3,"Höri",2014,74.1,31.1,6.7,44.1,2.3,18,57.1,18.7,76.4,49.1,63.8,62.8,"Anzahl"
60,3,"Höri",2015,72.9,31.1,7.9,43.8,2.4,18.7,57.3,19,75.3,49.8,65.1,62.8,"Anzahl"
60,3,"Höri",2016,73,31.7,8.1,44.3,2.8,19.2,58.2,20,75.7,50.9,66.3,64.3,"Anzahl"
60,3,"Höri",2017,73.9,30.7,7.6,44.1,3.4,19.8,56.3,20.4,77.3,50.5,64,64.5,"Anzahl"
60,3,"Höri",2018,74.5,35.7,8.2,46.1,3.6,19,58.4,20.7,78,54.7,66.6,66.9,"Anzahl"
60,3,"Höri",2019,76.1,34.3,8.1,46.8,3.6,21.8,57.6,21.1,79.7,56,65.7,68,"Anzahl"
60,3,"Höri",2020,75.4,36.4,8.1,47.5,6.4,19.3,57,21.1,81.8,55.7,65.1,68.7,"Anzahl"
60,3,"Höri",2021,73.1,37,7.7,47.5,5.6,19.6,57.1,19.7,78.7,56.6,64.7,67.1,"Anzahl"
61,3,"Hüntwangen",2012,33.6,36.9,,29.8,1.9,9.9,7.2,6.3,35.6,46.8,,36.1,"Anzahl"
61,3,"Hüntwangen",2013,33.4,36.2,,29.5,2.7,6.5,20.2,6.6,36.1,42.7,,36.1,"Anzahl"
61,3,"Hüntwangen",2014,33.8,37,,30,2.9,6.4,25,6.6,36.8,43.4,,36.6,"Anzahl"
61,3,"Hüntwangen",2015,33.7,36.9,,29.9,3,6.7,26,6.7,36.7,43.6,,36.6,"Anzahl"
61,3,"Hüntwangen",2016,33.2,37.5,,29.8,2.9,9.6,24.3,8,36.1,47.1,,37.8,"Anzahl"
61,3,"Hüntwangen",2017,33.6,37.1,,29.8,2.5,10.1,23.6,7.9,36.1,47.2,,37.7,"Anzahl"
61,3,"Hüntwangen",2018,33.8,37.7,,29.9,2.6,10.7,26.2,8.3,36.3,48.3,,38.3,"Anzahl"
61,3,"Hüntwangen",2019,34.6,38.1,,30.6,2.4,9.6,24.9,7.9,36.9,47.7,,38.5,"Anzahl"
61,3,"Hüntwangen",2020,34.8,38.2,,30.5,2.6,9.9,24.8,8.1,37.3,48.1,,38.6,"Anzahl"
61,3,"Hüntwangen",2021,34.6,39.4,,31.1,2.4,9.4,29.5,8.1,36.9,48.8,,39.2,"Anzahl"
62,3,"Kloten",2012,75.4,90.4,0.4,40.4,4.6,43.6,178.6,79.1,80,134,179,119.5,"Anzahl"
62,3,"Kloten",2013,74.7,88.6,0.4,39.3,4.3,46.3,174.2,77.8,79,134.9,174.6,117.1,"Anzahl"
62,3,"Kloten",2014,74.5,88.9,0.4,39.2,4.6,49.4,166.3,77.4,79.1,138.3,166.7,116.6,"Anzahl"
62,3,"Kloten",2015,73.6,90.1,0.4,39.3,4.3,39.3,123.5,57.4,77.9,129.4,123.9,96.7,"Anzahl"
62,3,"Kloten",2016,75.6,93,0.4,40.4,4.4,36.9,127.2,58.2,80.1,129.9,127.6,98.6,"Anzahl"
62,3,"Kloten",2017,77.6,93.7,0.4,41.2,4.5,35.4,127,58.2,82.2,129.1,127.4,99.4,"Anzahl"
62,3,"Kloten",2018,78.7,94.9,0.4,41.8,4.6,38.4,125.3,58.2,83.3,133.3,125.6,99.9,"Anzahl"
62,3,"Kloten",2019,79.2,97.7,0.4,42.6,4.9,39.3,145.7,66.2,84.1,137,146,108.8,"Anzahl"
62,3,"Kloten",2020,80.4,98.9,0.4,43.1,4.8,39.6,131.6,60.7,85.2,138.5,132,103.8,"Anzahl"
62,3,"Kloten",2021,80.1,100.9,0.5,43.5,5.1,40.2,135.8,62.4,85.3,141.1,136.3,106,"Anzahl"
63,3,"Lufingen",2012,50.9,35.9,,41.9,3.9,11.2,,6.5,54.8,47.1,,48.3,"Anzahl"
63,3,"Lufingen",2013,50.2,37.9,,42,3.9,11.3,,6.6,54,49.2,,48.6,"Anzahl"
63,3,"Lufingen",2014,48.1,38.5,,40.6,3.4,10.8,,5.9,51.5,49.3,,46.6,"Anzahl"
63,3,"Lufingen",2015,50.6,42.4,,43.3,3.4,10.2,,6.1,54,52.7,,49.4,"Anzahl"
63,3,"Lufingen",2016,49.8,41.3,,42.7,3.7,8.4,,5.7,53.4,49.8,,48.4,"Anzahl"
63,3,"Lufingen",2017,54.5,52.9,,49,3.5,10.4,,6.5,58,63.4,,55.6,"Anzahl"
63,3,"Lufingen",2018,52.3,53.8,,48.2,3.8,9.9,2,6.7,56.1,63.7,,54.9,"Anzahl"
63,3,"Lufingen",2019,52.4,53.8,,49.3,4,10.9,12.2,7.2,56.4,64.7,,56.6,"Anzahl"
63,3,"Lufingen",2020,57.3,52.1,,51.8,5.9,9.5,14.6,7.8,63.2,61.6,,59.6,"Anzahl"
63,3,"Lufingen",2021,58,53.9,,52,6,10,9.8,7.9,64,63.8,,60,"Anzahl"
